bidder_id,company_name,login_email,aadhaar_number,pan_number,gstin,cin_number,is_msme,udyam_reg_no,fy_turnover_cr,ca_udin,mii_percentage,director_name,director_din,registered_address,tampered_flag
BID_1000,Apex Tech Solutions Pvt Ltd,info@apextechsolutions.co.in,XXXX XXXX 8697,OSTCY7400J,09OSTCY7400J6ZO,L48662KA2006ZYU950352,False,UDYAM-DL-48-7507343,15.20,24541576MXGKYM5021,72.0,Vyanjana Venkataraman,07816442,"Plot 227, Okhla Industrial Estate, New Delhi - 644995",False
BID_1001,Zenith Infra Corp,sales@zenithinfracorp.biz.in,XXXX XXXX 4407,ARPCO8931W,29ARPCO8931W4ZX,U47446DL2021HLV479291,False,UDYAM-MH-47-9693181,10.50,24904586FDBOGT3065,42.0,Chandresh Chaudhuri,98695415,"Plot 178, Ambattur Industrial Estate, Chennai - 241175",True
BID_1002,Nexus Digital Systems Pvt Ltd,gem.desk@nexusdigitalsystems.biz.in,XXXX XXXX 6102,VQYCA0464D,09VQYCA0464D8Z9,U95815GJ2014IPR031905,False,UDYAM-KA-84-7178157,131.63,24918344CHIGMU4434,29.0,Suresh Kumar,07654321,"Plot 18, Whitefield Industrial Zone, Bengaluru",False
BID_1003,Synergy Smart Technologies LLP,bids@synergysmarttechnologies.biz.in,XXXX XXXX 6822,YJECR6726I,09YJECR6726I5ZM,L55617DL2008ERT716528,False,UDYAM-KA-23-2048740,28.63,24016593UPRPYI2498,71.5,Suresh Kumar,07654321,"Plot 18, Whitefield Industrial Zone, Bengaluru",False
BID_1004,Pratham Innovations LLP,sales@prathaminnovations.biz.in,XXXX XXXX 5414,HKPCA5357D,27HKPCA5357D8ZA,L61136UP2004APJ324215,True,UDYAM-GJ-01-0098765,1.80,24696321AHMGIY5856,85.0,Wahab Jain,95267360,"Plot 63, Taloja MIDC, Navi Mumbai - 025178",False
BID_1005,Swamy LLP,bids@swamy.com,XXXX XXXX 0513,QCJCX2719R,07QCJCX2719R4ZT,L93956MH2011CDK537618,False,UDYAM-DL-22-1396869,194.23,24321619MWSJQQ3915,82.1,Dayamai Toor,64507043,"Plot 193, Noida Sector 63 Industrial Area, Noida - 235397",False
BID_1006,Hegde LLP,info@hegde.in,XXXX XXXX 8427,KEUCH8973Z,24KEUCH8973Z7ZN,L45743DL2005GWG523172,False,UDYAM-GJ-56-3534074,160.08,24364748IAFDWG0242,67.3,Om Sidhu,06500324,"Plot 156, Noida Sector 63 Industrial Area, Noida - 135765",False
BID_1007,Pai-Gola LLP,sales@paigola.biz.in,XXXX XXXX 8864,AYBCR7999V,07AYBCR7999V6ZV,U34432UP2010DMJ843573,False,UDYAM-DL-58-8765589,214.00,24699024WDFWUS1683,68.8,Charles Shan,57167117,"Plot 205, Noida Sector 63 Industrial Area, Noida - 588228",False
BID_1008,Sura-Muni LLP,gem.desk@suramuni.biz.in,XXXX XXXX 7138,GOJCO1676N,27GOJCO1676N8Z8,L35806GJ1999XDN403868,False,UDYAM-MH-30-5806182,126.17,24710761EQEYZA9697,41.5,Fiyaz Chahal,30588417,"Plot 144, Guindy Industrial Estate, Chennai - 946596",False
BID_1009,Mukherjee-Samra Limited,admin@mukherjeesamra.in,XXXX XXXX 9274,TZCCO3855D,29TZCCO3855D5ZS,L00541UP2020OLM081105,True,UDYAM-KA-29-7061997,19.10,24114354FSNUHW3785,46.5,Pooja Krishnan,81558554,"Plot 207, Okhla Industrial Estate, New Delhi - 884920",False
